Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Shilpi Raj,Godanwa,Godanwa,single,0.607,0.979,-1.884,0.0957,0.462,0.0,0.407,0.962,179.95,3.4766666666666666,#VIDEO | ?????? | #Shilpi Raj ?? ?? ?? ??? ????? |#Godanwa | #Bhojpuri Song,Worldwide Records Bhojpuri,138782658.0,611392.0,10359.0,True,True,3472291.0,2.4054054054054057,Youtube
Far East Movement,Girls On the Dance Floor,Free Wired,album,0.807,0.728,-6.815,0.058,0.00614,1.79e-05,0.144,0.776,119.981,3.9062166666666656,Far East Movement - Girls On the Dance Floor ft. Stereotypes,FarEastMovementVEVO,21045964.0,76104.0,4579.0,True,True,9799512.0,5.055555555555555,Youtube
Banda Cuisillos,Mil Heridas,Mil Heridas,album,0.69,0.569,-6.806,0.0624,0.389,0.0,0.067,0.966,175.898,3.797333333333333,Cuisillos de Arturo Macias  - Mil heridas (Video Oficial),Discos Musart,754665.0,4768.0,52.0,True,True,40805463.0,8.492537313432834,Spotify
Johnny Cash,(Ghost) Riders in the Sky,Silver,album,0.572,0.668,-9.382,0.0361,0.355,0.0379,0.223,0.56,109.511,3.746883333333333,Johnny Cash - Ghost Riders In The Sky (Live - 1987),turion2005,8193553.0,85709.0,2081.0,False,False,88417035.0,2.995515695067265,Spotify
Vierra,Kepergianmu,Another Story Vol. 1,album,0.619,0.491,-8.797,0.0319,0.767,0.0,0.0983,0.356,119.928,2.7662666666666667,Vierra - Kepergianmu (Good Remake Video),Norma Hermawan,280607.0,1847.0,154.0,False,False,1980391.0,4.994913530010173,Spotify
Meghan Trainor,Made You Look,Takin' It Back,album,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,2.2376,Meghan Trainor - Made You Look (Official Music Video),MeghanTrainorVEVO,94225109.0,1330569.0,24010.0,True,True,269188318.0,6.809338521400778,Spotify
CKay,Love Nwantiti (Acoustic Version),Love Nwantiti (Acoustic Version),single,0.586,0.316,-11.81,0.0345,0.972,0.00364,0.126,0.367,89.967,3.069933333333333,CKay - Love Nwantiti [Acoustic Version],CKay,215095864.0,4976572.0,97214.0,True,True,17421036.0,2.507936507936508,Youtube
Stone Sour,Through Glass,Come What(ever) May [10th Anniversary Edition],album,0.545,0.753,-4.618,0.036,0.0417,0.0,0.389,0.434,105.754,4.715783333333333,Stone Sour - Through Glass [OFFICIAL VIDEO],Roadrunner Records,88674096.0,591072.0,22979.0,True,True,307631211.0,1.93573264781491,Spotify
Jessie J,Bang Bang,Sweet Talker (Deluxe Version),album,0.706,0.786,-3.417,0.091,0.26,0.0,0.38,0.751,150.028,3.3231166666666665,"Jessie J, Ariana Grande, Nicki Minaj - Bang Bang (Official Video)",JessieJVEVO,1892443022.0,10635145.0,272545.0,True,True,1125379891.0,2.068421052631579,Youtube
Pailita,Llamame Bebe,Llamame Bebe,single,0.808,0.688,-6.78,0.106,0.232,0.0,0.149,0.351,105.034,4.304766666666667,Pailita - Llámame Bebé - ft. Cris Mj & Young Cister (Prod. Reelian),P A I L I T A -,14511677.0,215081.0,5166.0,True,True,20161636.0,4.61744966442953,Spotify
DJ Nelson,Dime Que Sí,Platónico,album,0.899,0.48,-6.196,0.06,0.326,0.0,0.0735,0.392,94.011,3.5183833333333334,Jay Wheeler - Dime Que Si (Cover Audio),Jay Wheeler,87988768.0,535827.0,5542.0,False,True,96636518.0,6.530612244897959,Spotify
Santana,Smooth (feat. Rob Thomas),Supernatural (Legacy Edition),album,0.609,0.923,-3.908,0.0338,0.16,4.73e-06,0.295,0.961,115.996,4.91645,Santana - Smooth (Stereo) ft. Rob Thomas,SantanaVEVO,310354300.0,1547211.0,32884.0,True,True,295287370.0,3.128813559322034,Youtube
Millonario,Tío Rico,Tío Rico,single,0.87,0.79,-5.563,0.183,0.0292,0.0,0.299,0.703,136.992,3.3352833333333334,MILLONARIO FT ALEMAN - TIO RICO #TRAPYNOLLORES,elcarteldesantatv,100321308.0,913081.0,22632.0,True,True,58670463.0,2.6421404682274248,Youtube
Piso 21,Déjala Que Vuelva (feat. Manuel Turizo),Ubuntu,album,0.681,0.788,-4.323,0.0785,0.0482,0.0,0.0753,0.839,170.019,3.668616666666667,Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],Piso 21,1809603970.0,3744149.0,71826.0,True,True,666199160.0,10.46480743691899,Youtube
